PLAYER	matches_played	innings_batted	runs_scored	highest_runs	balls_faced	average_runs	strike_rate	innings_bowled	overs	runs_given	wickets_obtained	average_runs_per_wicket 	bowling_economy 
Aaron Finch	10	9	134	46	100	16.75	144	0	0	0	0	0	0
AB de Villiers	12	11	480	90	275	53.33	174.54	0	0	0	0	0	0
Abhishek Sharma	3	3	63	46	33	63	190.9	0	0	0	0	0	0
Ajinkya Rahane	15	14	370	65	313	28.46	118.21	0	0	0	0	0	0
Alex Hales	6	6	148	45	118	24.66	125.42	0	0	0	0	0	0
Ambati Rayudu	16	16	602	100	402	43	149.75	0	0	0	0	0	0
Andre Russell	16	14	316	88	171	28.72	184.79	15	37.5	355	13	27.3	9.38
Andrew Tye	14	8	32	14	38	5.33	84.21	14	56	448	24	18.66	8
Axar Patel	9	8	80	19	69	13.33	115.94	8	26	218	3	72.66	8.38
Ben Cutting	9	6	96	37	58	24	165.51	7	17	168	2	84	9.88
Ben Stokes	13	13	196	45	161	16.33	121.73	12	37	303	8	37.87	8.18
Bhuvneshwar Kumar	12	4	13	7	16	6.5	81.25	12	46.1	354	9	39.33	7.66
Brendon McCullum	6	6	127	43	88	21.16	144.31	0	0	0	0	0	0
Carlos Brathwaite	4	4	75	43	48	25	156.25	4	10.1	94	5	18.8	9.24
Chris Gayle	11	11	368	104	252	40.88	146.03	0	0	0	0	0	0
Chris Lynn	16	16	491	74	377	32.73	130.23	0	0	0	0	0	0
Chris Morris	4	4	46	27	26	46	176.92	4	14	143	3	47.66	10.21
Chris Woakes	5	4	17	11	19	8.5	89.47	5	18.2	190	8	23.75	10.36
Colin de Grandhomme	9	8	131	40	84	26.2	155.95	7	15	129	2	64.5	8.6
Colin Munro	5	5	63	33	41	12.6	153.65	0	0	0	0	0	0
Corey Anderson	3	3	17	15	22	5.66	77.27	3	8.4	115	3	38.33	13.26
D'Arcy Short	7	7	115	44	99	16.42	116.16	2	3	19	1	19	6.33
Dan Christian	4	3	26	13	33	13	78.78	4	11.5	101	4	25.25	8.53
David Miller	3	3	74	26	64	37	115.62	0	0	0	0	0	0
Deepak Chahar	12	4	50	39	29	16.66	172.41	12	38.1	278	10	27.8	7.28
Deepak Hooda	9	8	87	32	81	21.75	107.4	2	3	24	0	-0	8
Dinesh Karthik	16	16	498	52	337	49.8	147.77	0	0	0	0	0	0
Dwayne Bravo	16	10	141	68	91	35.25	154.94	16	53.3	533	14	38.07	9.96
Evin Lewis	13	13	382	65	276	29.38	138.4	0	0	0	0	0	0
Faf du Plessis	6	6	162	67	129	32.4	125.58	0	0	0	0	0	0
Gautam Gambhir	6	5	85	55	88	17	96.59	0	0	0	0	0	0
Glenn Maxwell	12	12	169	47	120	14.08	140.83	10	16	132	5	26.4	8.25
Harbhajan Singh	13	3	29	19	36	9.66	80.55	12	31.5	270	7	38.57	8.48
Hardik Pandya	13	13	260	50	195	28.88	133.33	13	42.4	381	18	21.16	8.92
Harshal Patel	5	2	60	36	33	60	181.81	5	17.3	167	7	23.85	9.54
Heinrich Klaasen	4	4	57	32	47	19	121.27	0	0	0	0	0	0
Ishan Kishan	14	12	275	62	184	22.91	149.45	0	0	0	0	0	0
Jason Roy	5	5	120	91	94	30	127.65	0	0	0	0	0	0
Jaydev U0dkat	15	7	49	26	38	12.25	128.94	15	50.2	486	11	44.18	9.65
Jofra Archer	10	8	15	8	21	3	71.42	10	38.5	325	15	21.66	8.36
Jos Buttler	13	13	548	95	353	54.8	155.24	0	0	0	0	0	0
JP Duminy	6	4	36	23	40	36	90	2	3	36	0	-0	12
Kane Williamson 	17	17	735	84	516	52.5	142.44	0	0	0	0	0	0
Karun 0ir	13	12	301	54	221	25.08	136.19	0	0	0	0	0	0
Kedar Jadhav	1	1	24	24	22	-0	109.09	0	0	0	0	0	0
Kieron Pollard	9	8	133	50	100	19	133	0	0	0	0	0	0
Krish0ppa Gowtham	15	13	126	33	64	14	196.87	15	40	312	11	28.36	7.8
Kru0l Pandya	14	13	228	41	157	22.8	145.22	13	40.1	284	12	23.66	7.07
Lokesh Rahul	14	14	659	95	416	54.91	158.41	0	0	0	0	0	0
Mahipal Lomror	2	2	20	11	21	20	95.23	2	3	27	0	-0	9
Ma0n Vohra	4	4	55	45	47	13.75	117.02	0	0	0	0	0	0
Mandeep Singh	14	13	252	47	186	25.2	135.48	0	0	0	0	0	0
Manish Pandey	15	13	284	62	246	25.81	115.44	0	0	0	0	0	0
Manoj Tiwary	5	4	47	35	44	15.66	106.81	1	1	10	0	-0	10
Marcus Stoinis	7	7	99	29	76	24.75	130.26	6	11	120	3	40	10.9
Mayank Agarwal	11	11	120	30	94	12	127.65	0	0	0	0	0	0
Mayank Markande	14	6	21	7	24	10.5	87.5	14	44	368	15	24.53	8.36
Mitchell Johnson	6	2	16	12	11	-0	145.45	6	21	216	2	108	10.28
Moeen Ali	5	4	77	65	46	19.25	167.39	5	13.1	97	3	32.33	7.36
Mohammad 0bi	2	2	18	14	12	9	150	2	5	47	1	47	9.4
Mohammed Siraj	11	4	25	14	22	12.5	113.63	11	41	367	11	33.36	8.95
MS Dhoni	16	15	455	79	302	75.83	150.66	0	0	0	0	0	0
Nitish Ra0	15	15	304	59	232	23.38	131.03	5	6.1	44	4	11	7.13
Parthiv Patel	6	6	153	53	109	30.6	140.36	0	0	0	0	0	0
Piyush Chawla	15	7	27	12	34	6.75	79.41	15	49	412	14	29.42	8.4
Prithvi Shaw	9	9	245	65	160	27.22	153.12	0	0	0	0	0	0
Quinton de Kock	8	8	201	53	162	25.12	124.07	0	0	0	0	0	0
Rahul Tewatia	8	5	50	24	43	16.66	116.27	8	22	173	6	28.83	7.86
Rahul Tripathi	12	12	226	80	167	25.11	135.32	0	0	0	0	0	0
Rashid Khan	17	7	59	34	31	11.8	190.32	17	68	458	21	21.8	6.73
Ravichandran Ashwin	14	9	102	45	71	12.75	143.66	14	50.4	410	10	41	8.09
Ravindra Jadeja	16	10	89	27	74	17.8	120.27	14	41	303	11	27.54	7.39
Rinku Singh	4	4	29	16	31	7.25	93.54	0	0	0	0	0	0
Rishabh Pant	14	14	684	128	394	52.61	173.6	0	0	0	0	0	0
Robin Uthappa	16	16	351	54	265	21.93	132.45	0	0	0	0	0	0
Rohit Sharma	14	14	286	94	215	23.83	133.02	0	0	0	0	0	0
Sam Billings	10	8	108	56	78	13.5	138.46	0	0	0	0	0	0
Sanju Samson	15	15	441	92	320	31.5	137.81	0	0	0	0	0	0
Sarfaraz Khan	7	6	51	22	41	10.2	124.39	0	0	0	0	0	0
Shakib Al Hasan	17	13	239	35	197	21.72	121.31	17	57	456	14	32.57	8
Shane Watson	15	15	555	117	359	39.64	154.59	11	28	251	6	41.83	8.96
Shardul Thakur	13	1	15	15	5	-0	300	13	46.4	431	16	26.93	9.23
Shikhar Dhawan	16	16	497	92	363	38.23	136.91	0	0	0	0	0	0
Shivam Mavi	9	4	13	7	15	4.33	86.66	9	28	270	5	54	9.64
Shreevats Goswami	6	3	52	35	40	17.33	130	0	0	0	0	0	0
Shreyas Gopal	11	4	50	24	45	16.66	111.11	10	31	236	11	21.45	7.61
Shreyas Iyer	14	14	411	93	310	37.36	132.58	0	0	0	0	0	0
Shubman Gill	13	11	203	57	139	33.83	146.04	0	0	0	0	0	0
Stuart Binny	7	5	44	22	39	8.8	112.82	1	2	33	0	-0	16.5
Sunil 0rine	16	16	357	75	188	22.31	189.89	16	61	467	17	27.47	7.65
Suresh Rai0	15	15	445	75	336	37.08	132.44	0	0	0	0	0	0
Suryakumar Yadav	14	14	512	72	384	36.57	133.33	0	0	0	0	0	0
Tim Southee	8	4	52	36	46	26	113.04	8	29	261	5	52.2	9
Tom Curran	5	4	23	18	28	7.66	82.14	5	10.1	118	6	19.66	11.6
Vijay Shankar	13	11	212	54	148	53	143.24	4	5	58	1	58	11.6
Virat Kohli	14	14	530	92	381	48.18	139.1	0	0	0	0	0	0
Washington Sundar	7	6	65	35	38	21.66	171.05	7	20	192	4	48	9.6
Wriddhiman Saha	11	10	122	35	102	15.25	119.6	0	0	0	0	0	0
Yusuf Pathan	15	13	260	45	200	28.88	130	1	2	14	1	14	7
Yuvraj Singh	8	6	65	20	73	10.83	89.04	2	2	23	0	-0	11.5
Akila Da0njaya	0	0	0	0	0	0	0	1	4	47	0	-0	11.75
Amit Mishra	0	0	0	0	0	0	0	10	37	264	12	22	7.13
Ankit Rajpoot	0	0	0	0	0	0	0	8	26.1	223	11	20.27	8.52
Ankit Sharma	0	0	0	0	0	0	0	1	1	11	0	-0	11
Anureet Singh	0	0	0	0	0	0	0	3	4	42	1	42	10.5
Avesh Khan	0	0	0	0	0	0	0	6	19	204	4	51	10.73
Barinder Sran	0	0	0	0	0	0	0	6	22	229	4	57.25	10.4
Basil Thampi	0	0	0	0	0	0	0	4	10.1	114	5	22.8	10.2
Ben Laughlin	0	0	0	0	0	0	0	7	21	212	9	22.44	10.04
